time,open,high,low,close
2021-06-10T04:00:00-04:00,13801.25,13803.25,13764.25,13787.25
2021-06-10T05:00:00-04:00,13787.5,13794.25,13769,13782.25
2021-06-10T06:00:00-04:00,13781.75,13788.5,13765.5,13773
2021-06-10T07:00:00-04:00,13772.5,13797,13746,13776.25
2021-06-10T08:00:00-04:00,13776.25,13835.5,13726,13828.75
2021-06-10T09:00:00-04:00,13829.25,13964.75,13811.25,13943.75
2021-06-10T10:00:00-04:00,13944.25,13960.5,13825.75,13867
2021-06-10T11:00:00-04:00,13866.75,13923,13848,13920.75
2021-06-10T12:00:00-04:00,13920.75,13945.25,13913.25,13944.25
2021-06-10T13:00:00-04:00,13944.25,13959,13921.5,13958.25
2021-06-10T14:00:00-04:00,13958.25,13959.75,13935.25,13956.75
2021-06-10T15:00:00-04:00,13957,13964,13930.5,13959.75
2021-06-10T16:00:00-04:00,13959.75,13976.5,13957,13973.5
2021-06-10T18:00:00-04:00,13975.5,13978.5,13965.5,13968.25
2021-06-10T19:00:00-04:00,13968.75,13970.25,13961,13967.5
2021-06-10T20:00:00-04:00,13967.75,13981.5,13963,13976.75
2021-06-10T21:00:00-04:00,13977,13987,13972.5,13981.25
2021-06-10T22:00:00-04:00,13980.75,13981.25,13969.5,13977
2021-06-10T23:00:00-04:00,13977,13979,13972.25,13976.5
2021-06-11T00:00:00-04:00,13976.75,13979.5,13973.75,13975.25
2021-06-11T01:00:00-04:00,13975.25,13976,13968,13975.25
2021-06-11T02:00:00-04:00,13975.75,13975.75,13957.75,13971.25
2021-06-11T03:00:00-04:00,13970.75,13971.25,13951.5,13953
2021-06-11T04:00:00-04:00,13952.5,13967.25,13947.5,13965.75
2021-06-11T05:00:00-04:00,13965.75,13967,13952.5,13958.5
2021-06-11T06:00:00-04:00,13958.75,13996.75,13950,13994.25
2021-06-11T07:00:00-04:00,13994.25,13997.75,13975.5,13976.75
2021-06-11T08:00:00-04:00,13976.75,13983.75,13963.25,13971.5
2021-06-11T09:00:00-04:00,13971,13985.5,13941.25,13968.75
2021-06-11T10:00:00-04:00,13967.75,13985,13939.25,13954
2021-06-11T11:00:00-04:00,13954,13974.25,13932.25,13959
2021-06-11T12:00:00-04:00,13958.75,13968.75,13948,13960.5
2021-06-11T13:00:00-04:00,13960.5,13969.5,13947,13965.5
2021-06-11T14:00:00-04:00,13965.25,13983.5,13965.25,13976.5
2021-06-11T15:00:00-04:00,13976.25,13997.25,13961.75,13994.5
2021-06-11T16:00:00-04:00,13994.75,13996.75,13988.75,13992.75
2021-06-13T18:00:00-04:00,13999,14023.25,13998,14018.5
2021-06-13T19:00:00-04:00,14018.5,14024.75,14011.75,14019.25
2021-06-13T20:00:00-04:00,14019.75,14028.75,14008.75,14021.75
2021-06-13T21:00:00-04:00,14022.25,14025.25,14013.75,14022.5
2021-06-13T22:00:00-04:00,14022.75,14026.75,14021,14024.25
2021-06-13T23:00:00-04:00,14024.25,14024.75,14017.25,14019
2021-06-14T00:00:00-04:00,14019,14022.75,14017.25,14018.5
2021-06-14T01:00:00-04:00,14017.75,14021,14017.5,14017.5
2021-06-14T02:00:00-04:00,14018,14021.25,14009,14020.25
2021-06-14T03:00:00-04:00,14020.25,14037.75,14013.5,14018.5
